country_name, 1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Australia,3101.413*,3087.781,3106.914,3161.924,3141.306,3097.332,3183.567,3149.894,3199.468,3220.999,3236.742,3221.499,3236.422,3106.868,3020.555,3094.367,3118.755,3075.032,3024.776,3011.377,3060.348,3062.411,3090.198,3025.148,3076.969,3122.051,3089.681,3120.855,3126.705,3143.150,3183.123,3130.200,3136.900,3058.129,3073.810,3119.828,3098.483,3121.687,3046.336,3050.248,3028.908,3085.823,3114.785,3144.023,3096.871,3152.658,3217.521,3261.738,3258.790,3260.649,3534.001,3514.999,3562.999,3545.999,3534.000,3520.000,3537.999,3493.999,3470.000,3504.000,3480.000,3453.999,
Zimbabwe,NaN,2088.625,2137.640,2129.010,2123.948,2133.863,2140.382,2249.516,2267.253,2219.399,2289.353,2320.297,2349.931,2339.426,2343.312,2291.075,2322.188,2348.665,2370.365,2381.049,2372.825,2241.380,2244.843,2207.678,2164.855,2127.701,2103.258,2070.220,2112.143,2116.758,2082.284,2030.184,2017.370,2017.891,2032.435,2058.043,2100.413,2129.867,2131.816,2109.893,2090.924,2143.101,2131.683,2109.397,2133.438,2105.545,2182.497,2158.027,2132.983,2182.421,2242.999,2246.999,2279.000,2248.000,2149.999,2113.001,2118.999,2046.000,2065.999,2025.001,2014.001,2048.999,
Zambia,NaN,2124.575,2116.756,2066.730,2016.492,1997.039,2125.666,2148.368,2175.534,2191.883,2190.603,2226.611,2245.667,2302.408,2318.809,2339.433,2364.104,2448.639,2324.604,2333.321,2318.177,2289.653,2188.610,2183.841,2166.615,2066.805,2088.501,2072.577,2105.897,2117.112,2122.917,2046.099,2020.983,2017.425,2057.978,2087.029,2073.066,2010.301,1972.125,2002.314,1912.739,1880.864,1869.535,1909.998,1863.824,1857.635,1808.895,1739.056,1745.516,1808.468,1949.999,1984.998,2014.000,2048.001,2099.999,2125.000,2186.000,2232.999,2261.999,2243.000,2223.001,2220.000,
Yugoslavia,2997.493*,3063.146,3204.564,3218.077,3291.578,3291.578,3385.045,3405.570,3368.778,3390.610,3393.453,3427.099,3385.211,3414.718,3569.199,3541.535,3608.086,3613.831,3574.513,3572.539,3631.342,3656.867,3619.690,3651.627,3620.839,3602.940,3700.194,3666.243,3653.438,3653.352,3687.677,3414.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Yemen,NaN,1645.168,1650.643,1667.773,1672.004,1685.739,1689.857,1678.228,1664.157,1673.466,1641.045,1615.474,1599.558,1607.858,1600.723,1593.676,1648.251,1703.428,1788.898,1764.923,1738.606,1748.742,1812.414,1790.487,1838.692,1796.951,1865.581,1886.205,1960.236,1922.639,1805.285,1808.392,1904.591,1915.986,1898.534,1905.305,1907.250,1928.639,1944.430,1958.977,1966.889,1947.717,1964.490,1953.580,1961.924,1977.096,1991.298,2017.018,1985.354,1998.236,2246.001,2192.000,2270.000,2264.999,2183.999,2033.999,1929.999,1996.000,1994.000,2030.000,2131.001,2173.000,
Vietnam,NaN,1923.960,1985.698,1983.180,1972.044,1979.298,1960.460,1975.008,2002.369,2024.528,2104.106,2046.302,2022.073,2058.266,2067.324,1955.709,1972.619,1895.224,1838.245,1990.476,2001.313,2073.726,2018.221,2043.922,2098.012,2075.152,2127.869,2057.302,2053.143,2050.811,1961.866,1911.501,1981.147,2088.240,2118.687,2089.132,2077.790,2041.889,2168.136,2253.626,2292.476,2354.049,2415.770,2471.664,2533.387,2521.607,2536.125,2601.830,2669.128,2690.376,2730.000,2760.001,2821.000,2809.000,2849.000,2838.000,2875.000,2897.000,2924.000,2962.000,3005.000,3048.000,
Venezuela,NaN,2007.109,1968.765,1969.555,2158.216,2128.440,2082.365,2100.280,2132.617,2188.546,2210.818,2201.414,2159.398,2166.047,2192.902,2311.812,2394.830,2540.929,2557.699,2634.275,2691.595,2741.410,2561.918,2598.773,2741.148,2621.996,2387.891,2563.613,2759.886,2296.698,2360.854,2422.136,2520.969,2399.628,2369.485,2432.317,2378.407,2281.260,2351.915,2338.855,2452.018,2507.970,2218.269,2416.402,2495.237,2495.342,2522.248,2619.398,2826.714,2883.738,2925.999,2923.000,2874.000,2838.000,2882.000,2620.000,2233.000,2292.000,2194.000,2237.999,2299.999,2310.001,
Vanuatu,NaN,2428.522,2501.878,2521.976,2469.610,2523.470,2464.929,2608.073,2507.206,2555.753,2509.823,2600.454,2558.154,2536.877,2590.764,2445.647,2353.174,2444.767,2543.356,2605.605,2538.448,2467.581,2506.779,2574.692,2685.942,2727.232,2631.763,2591.263,2507.061,2439.404,2500.656,2499.845,2492.229,2479.270,2490.980,2501.937,2589.967,2617.971,2642.265,2623.510,2598.458,2563.892,2589.341,2643.105,2636.056,2669.613,2700.351,2754.347,2754.235,2760.050,2849.837,2813.787,2771.795,2781.821,2826.874,2807.898,2806.812,2843.902,2832.933,2798.871,2801.964,2818.947,
Ukraine,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3358.082,3228.011,2974.364,2885.837,2814.347,2868.373,2841.974,2792.767,2906.501,2998.734,3062.260,3064.909,3206.708,3225.285,3263.387,3276.877,3325.492,3201.898,3149.000,3194.999,3177.000,3167.000,3142.000,3076.999,3065.000,3035.000,2989.000,2943.000,2926.001,2938.000,
Uruguay,2784.535*,2805.830,2720.067,2784.734,2853.577,2767.968,2754.151,2675.659,2738.303,2887.734,2971.867,2813.483,2761.885,2724.687,2888.728,2847.780,2831.092,2661.261,2654.986,2838.166,2786.917,2833.992,2768.394,2553.572,2669.387,2638.301,2562.373,2606.486,2582.625,2487.835,2521.316,2696.096,2763.111,2751.412,2792.645,2691.101,2837.666,2832.457,2846.354,2850.877,2835.567,2891.652,2856.500,2847.672,2839.710,2815.209,2829.558,2898.120,2969.410,2991.100,3106.997,3119.008,3149.996,3155.993,3178.000,3145.000,3167.002,3188.995,3239.996,3277.998,3261.003,3282.995,
Uganda,2069.135*,2066.761,2040.415,2070.159,2045.761,2100.382,1982.907,2165.020,2181.561,2156.478,2211.070,2177.224,2226.881,2132.177,2176.173,2180.912,2224.258,2200.672,2125.043,2006.820,1932.945,2005.876,2138.742,2248.644,2121.777,2028.705,2051.670,2108.086,2181.367,2310.589,2323.159,2270.007,2218.351,2239.202,2224.124,2242.505,2145.881,2175.495,2290.366,2271.100,2291.093,2309.893,2366.293,2425.678,2404.775,2391.815,2350.179,2294.060,2267.558,2295.378,2344.001,2299.000,2309.999,2292.000,2236.000,2155.000,2026.000,2050.999,2136.999,2125.000,2159.000,2123.000,
United Arab Emirates,NaN,2009.376,2031.506,2124.989,2125.209,2173.099,2309.507,2420.201,2479.510,2329.273,2280.339,2199.552,2225.574,2897.080,2775.294,3080.828,3200.271,3211.997,3279.280,3133.341,3397.153,3367.636,3393.190,3417.483,3563.547,3394.979,3323.867,3388.750,3238.667,3211.376,2924.523,2919.395,3041.043,3083.302,3177.846,3143.099,3125.321,3096.263,3119.483,3153.196,3044.165,3010.314,2976.752,2948.961,3009.961,3106.181,3186.996,3144.964,3063.530,3061.067,2992.998,3101.996,3170.998,3212.999,3175.998,3189.997,3172.998,3218.001,3227.999,3305.000,3300.001,3306.001,
